candle_idx,direction,confidence,entry_price,exit_price,win
1809,PUT,0.8042,1.15294,1.15294,True
1810,BUY,0.9645,1.15291,1.15292,True
1812,PUT,0.6476,1.15294,1.15291,True
1813,BUY,0.835,1.15292,1.15293,True
1815,BUY,0.9772,1.15291,1.15293,True
1817,BUY,0.9722,1.1529,1.15293,True
1818,PUT,0.838,1.15293,1.15291,True
1819,BUY,0.9744,1.1529,1.15292,True
1820,PUT,0.8035,1.15293,1.15293,True
1821,BUY,0.9287,1.15291,1.15291,False
1822,BUY,0.8485,1.15292,1.15363,True
1823,PUT,0.8147,1.15293,1.15308,False
1824,BUY,0.9865,1.15291,1.15306,True
1825,PUT,0.9048,1.15363,1.15302,True
1826,PUT,0.7139,1.15308,1.15306,True
1827,PUT,0.6429,1.15306,1.15303,True
1828,PUT,0.6484,1.15302,1.15298,True
1829,PUT,0.9598,1.15306,1.15299,True
1830,PUT,0.879,1.15303,1.15299,True
1831,PUT,0.8369,1.15298,1.15296,True
1832,PUT,0.6145,1.15299,1.15296,True
1833,PUT,0.9291,1.15299,1.15296,True
1835,BUY,0.9099,1.15296,1.15295,False
1836,PUT,0.6981,1.15296,1.15292,True
1837,BUY,0.9487,1.15293,1.15295,True
1838,PUT,0.7581,1.15295,1.15292,True
1839,BUY,0.9292,1.15292,1.15294,True
1840,PUT,0.9247,1.15295,1.15294,True
1841,BUY,0.8973,1.15292,1.15292,False
1842,BUY,0.645,1.15294,1.15294,False
1843,BUY,0.6307,1.15294,1.15292,False
1844,BUY,0.9833,1.15292,1.15295,True
1846,BUY,0.9826,1.15292,1.15342,True
1847,PUT,0.9228,1.15295,1.15292,True
1848,BUY,0.9871,1.15291,1.15312,True
1849,PUT,0.9357,1.15342,1.15307,True
1850,BUY,0.7619,1.15292,1.15308,True
1851,PUT,0.9375,1.15312,1.15309,True
1852,PUT,0.7797,1.15307,1.15307,True
1853,PUT,0.8299,1.15308,1.153,True
1854,PUT,0.917,1.15309,1.153,True
1855,PUT,0.9126,1.15307,1.153,True
1856,PUT,0.8376,1.153,1.15297,True
1858,PUT,0.9114,1.153,1.15297,True
1859,BUY,0.9369,1.15297,1.15299,True
1860,PUT,0.9436,1.153,1.153,True
1861,BUY,0.8831,1.15297,1.15299,True
1862,PUT,0.8408,1.15299,1.15299,True
1863,PUT,0.9214,1.153,1.15297,True
1864,PUT,0.6064,1.15299,1.153,False
1865,PUT,0.7279,1.15299,1.15297,True
1866,BUY,0.9278,1.15297,1.153,True
1867,PUT,0.9355,1.153,1.15297,True
1868,BUY,0.8676,1.15297,1.15299,True
1869,PUT,0.9671,1.153,1.15301,False
1870,BUY,0.9179,1.15297,1.15299,True
1871,PUT,0.6283,1.15299,1.15365,False
1872,PUT,0.9375,1.15301,1.15362,False
1873,BUY,0.6354,1.15299,1.15316,True
1874,PUT,0.8936,1.15365,1.15311,True
1875,PUT,0.6098,1.15362,1.15314,True
1878,PUT,0.8745,1.15314,1.15311,True
1879,PUT,0.7577,1.1531,1.15313,False
1880,PUT,0.964,1.15314,1.15314,True
1881,PUT,0.6557,1.15311,1.15312,False
1882,PUT,0.898,1.15313,1.15313,True
1883,PUT,0.8833,1.15314,1.15311,True
1884,PUT,0.7095,1.15312,1.15314,False
1885,PUT,0.7519,1.15313,1.1531,True
1886,BUY,0.7785,1.15311,1.15314,True
1887,PUT,0.8906,1.15314,1.15311,True
1888,BUY,0.8201,1.1531,1.15313,True
1889,PUT,0.9293,1.15314,1.15311,True
1890,BUY,0.7829,1.15311,1.15313,True
1891,PUT,0.7434,1.15313,1.15313,True
1892,BUY,0.811,1.15311,1.15313,True
1894,PUT,0.7872,1.15313,1.15311,True
1896,PUT,0.6096,1.15313,1.1531,True
